2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2022,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2023,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2021,External,Internal,Total,,,2022,External,Internal,Total,,,2023,External,Internal,Total,,,"*FOC encompasses blockages, collapses and failures of equipment on the sewerage network. "
Non NWL,4610,1357,5967,,,Non NWL,4472,1355,5827,,,Non NWL,5087,1507,6594,,,*Overloaded sewers relates to capacity issues in the sewer. 
NWL,3685,253,3938,,,NWL,3051,161,3212,,,NWL,3102,168,3270,,,
FOC,3564,229,3793,,,FOC,2962,140,3102,,,FOC,2899,137,3036,,,Internal: internal to a person's property 
Overloaded Sewers,121,24,145,,,Overloaded Sewers,89,21,110,,,Overloaded Sewers,203,31,234,,,External: merely their garden and outside private property
Total,8295,1610,9905,,,Total,7523,1516,9039,,,Total,8189,1675,9864,,,
,,,,,,,,,,,,,,,,,,
Properties,9042,,,,,Properties,8369,,,,,Properties,9063,,,,,
,,,,,,,,,,,,,,,,,,
Postal Area,Incident count,,,,,Postal Area,Incident count,,,,,Postal Area,Incident count,,,,,
CA8,2,,,,,CA9,11,,,,,NE34,265,,,,,
CA9,19,,,,,DH1,141,,,,,DH9,249,,,,,
DH1,153,,,,,DH2,98,,,,,DH8,216,,,,,
DH2,87,,,,,DH3,127,,,,,NE9,207,,,,,
DH3,104,,,,,DH4,96,,,,,NE10,200,,,,,
DH4,159,,,,,DH5,101,,,,,NE5,187,,,,,
DH5,114,,,,,DH6,110,,,,,SR4,171,,,,,
DH6,171,,,,,DH7,120,,,,,SR8,168,,,,,
DH7,143,,,,,DH8,169,,,,,TS19,166,,,,,
DH8,208,,,,,DH9,218,,,,,DH1,164,,,,,
DH9,155,,,,,DL1,181,,,,,DH7,161,,,,,
DL1,168,,,,,DL10,2,,,,,TS17,160,,,,,
DL10,4,,,,,DL11,4,,,,,DL1,159,,,,,
DL11,11,,,,,DL12,50,,,,,NE28,159,,,,,
DL12,32,,,,,DL13,68,,,,,DL14,157,,,,,
DL13,59,,,,,DL14,155,,,,,NE38,157,,,,,
DL14,184,,,,,DL15,65,,,,,TS5,153,,,,,
DL15,138,,,,,DL16,78,,,,,DH3,149,,,,,
DL16,68,,,,,DL17,93,,,,,SR5,141,,,,,
DL17,105,,,,,DL2,82,,,,,DL3,139,,,,,
DL2,91,,,,,DL3,127,,,,,TS25,138,,,,,
DL3,124,,,,,DL4,30,,,,,NE23,136,,,,,
DL4,33,,,,,DL5,106,,,,,TS7,136,,,,,
DL5,124,,,,,DL6,1,,,,,NE3,135,,,,,
DL6,2,,,,,NE1,33,,,,,TS10,134,,,,,
NE1,30,,,,,NE10,158,,,,,TS3,133,,,,,
NE10,188,,,,,NE11,60,,,,,TS6,133,,,,,
NE11,56,,,,,NE12,93,,,,,NE29,131,,,,,
NE12,111,,,,,NE13,37,,,,,NE24,128,,,,,
NE13,45,,,,,NE15,93,,,,,SR3,127,,,,,
NE15,119,,,,,NE16,81,,,,,DH2,127,,,,,
NE16,97,,,,,NE17,19,,,,,NE37,119,,,,,
NE17,21,,,,,NE18,3,,,,,NE61,119,,,,,
NE18,3,,,,,NE19,1,,,,,SR7,117,,,,,
NE19,10,,,,,NE2,49,,,,,NE15,117,,,,,
NE2,34,,,,,NE20,60,,,,,DH6,113,,,,,
NE20,45,,,,,NE21,45,,,,,DL5,107,,,,,
NE21,54,,,,,NE22,62,,,,,DL17,105,,,,,
NE22,55,,,,,NE23,112,,,,,NE31,104,,,,,
NE23,153,,,,,NE24,102,,,,,NE12,104,,,,,
NE24,114,,,,,NE25,59,,,,,NE6,104,,,,,
NE25,77,,,,,NE26,31,,,,,DL15,102,,,,,
NE26,39,,,,,NE27,35,,,,,SR2,101,,,,,
NE27,32,,,,,NE28,171,,,,,DH5,101,,,,,
NE28,165,,,,,NE29,142,,,,,SR6,101,,,,,
NE29,153,,,,,NE3,124,,,,,NE32,100,,,,,
NE3,172,,,,,NE30,42,,,,,NE16,100,,,,,
NE30,58,,,,,NE31,72,,,,,DH4,99,,,,,
NE31,76,,,,,NE32,92,,,,,TS20,99,,,,,
NE32,87,,,,,NE33,97,,,,,TS24,97,,,,,
NE33,121,,,,,NE34,253,,,,,TS23,92,,,,,
NE34,197,,,,,NE35,25,,,,,TS18,92,,,,,
NE35,37,,,,,NE36,13,,,,,TS12,91,,,,,
NE36,13,,,,,NE37,110,,,,,NE33,89,,,,,
NE37,127,,,,,NE38,120,,,,,NE8,83,,,,,
NE38,120,,,,,NE39,29,,,,,TS8,79,,,,,
NE39,30,,,,,NE4,58,,,,,TS21,79,,,,,
NE4,110,,,,,NE40,46,,,,,TD15,76,,,,,
NE40,44,,,,,NE41,7,,,,,NE63,75,,,,,
NE41,9,,,,,NE42,46,,,,,NE4,75,,,,,
NE42,43,,,,,NE43,15,,,,,NE20,75,,,,,
NE43,21,,,,,NE44,2,,,,,NE11,69,,,,,
NE44,5,,,,,NE45,11,,,,,TS26,68,,,,,
NE45,16,,,,,NE46,46,,,,,TS14,65,,,,,
NE46,48,,,,,NE47,17,,,,,NE66,64,,,,,
NE47,17,,,,,NE48,7,,,,,NE21,64,,,,,
NE48,16,,,,,NE49,13,,,,,NE42,62,,,,,
NE49,18,,,,,NE5,138,,,,,TS4,58,,,,,
NE5,220,,,,,NE6,90,,,,,TS13,56,,,,,
NE6,129,,,,,NE61,102,,,,,NE65,56,,,,,
NE61,94,,,,,NE62,40,,,,,TS1,55,,,,,
NE62,44,,,,,NE63,87,,,,,DL16,54,,,,,
NE63,71,,,,,NE64,20,,,,,NE25,53,,,,,
NE64,25,,,,,NE65,59,,,,,DL13,53,,,,,
NE65,73,,,,,NE66,57,,,,,DL12,52,,,,,
NE66,60,,,,,NE67,5,,,,,NE22,52,,,,,
NE67,2,,,,,NE68,11,,,,,TS2,49,,,,,
NE68,6,,,,,NE69,2,,,,,NE13,46,,,,,
NE69,3,,,,,NE7,24,,,,,DL2,45,,,,,
NE7,35,,,,,NE70,6,,,,,TS9,44,,,,,
NE70,5,,,,,NE71,8,,,,,NE40,43,,,,,
NE71,10,,,,,NE8,77,,,,,NE26,39,,,,,
NE8,78,,,,,NE9,134,,,,,NE27,38,,,,,
NE9,144,,,,,SR1,19,,,,,NE46,37,,,,,
SR1,19,,,,,SR2,115,,,,,TS15,37,,,,,
SR2,115,,,,,SR3,142,,,,,NE30,36,,,,,
SR3,101,,,,,SR4,128,,,,,TS27,36,,,,,
SR4,168,,,,,SR5,130,,,,,TS11,36,,,,,
SR5,140,,,,,SR6,65,,,,,NE39,36,,,,,
SR6,85,,,,,SR7,97,,,,,DL4,34,,,,,
SR7,99,,,,,SR8,153,,,,,NE35,34,,,,,
SR8,170,,,,,TD15,48,,,,,TS29,34,,,,,
TD15,91,,,,,TS1,77,,,,,TS22,33,,,,,
TS1,71,,,,,TS10,145,,,,,NE1,32,,,,,
TS10,153,,,,,TS11,42,,,,,NE7,32,,,,,
TS11,42,,,,,TS12,98,,,,,NE62,31,,,,,
TS12,82,,,,,TS13,38,,,,,NE2,31,,,,,
TS13,53,,,,,TS14,68,,,,,NE43,31,,,,,
TS14,77,,,,,TS15,50,,,,,NE17,27,,,,,
TS15,73,,,,,TS16,18,,,,,TS16,22,,,,,
TS16,27,,,,,TS17,147,,,,,NE36,21,,,,,
TS17,148,,,,,TS18,100,,,,,TS28,19,,,,,
TS18,121,,,,,TS19,138,,,,,NE64,19,,,,,
TS19,158,,,,,TS2,17,,,,,NE49,18,,,,,
TS2,10,,,,,TS20,93,,,,,NE47,16,,,,,
TS20,81,,,,,TS21,38,,,,,NE45,16,,,,,
TS21,31,,,,,TS22,24,,,,,NE71,15,,,,,
TS22,24,,,,,TS23,111,,,,,NE48,12,,,,,
TS23,89,,,,,TS24,104,,,,,SR1,11,,,,,
TS24,115,,,,,TS25,168,,,,,NE68,10,,,,,
TS25,143,,,,,TS26,55,,,,,NE41,8,,,,,
TS26,89,,,,,TS27,38,,,,,NE44,8,,,,,
TS27,30,,,,,TS28,15,,,,,DL10,7,,,,,
TS28,22,,,,,TS29,19,,,,,DL11,7,,,,,
TS29,39,,,,,TS3,138,,,,,NE19,6,,,,,
TS3,132,,,,,TS4,76,,,,,NE70,5,,,,,
TS4,85,,,,,TS5,156,,,,,NE67,5,,,,,
TS5,146,,,,,TS6,148,,,,,CA9,5,,,,,
TS6,172,,,,,TS7,111,,,,,CA8,3,,,,,
TS7,125,,,,,TS8,78,,,,,NE18,3,,,,,
TS8,78,,,,,TS9,47,,,,,TD12,3,,,,,
TS9,55,,,,,YO21,1,,,,,NE69,1,,,,,
YO21,3,,,,,,,,,,,DL6,1,,,,,
